ticker,currency,asset_class,fund_benchmark,fund_category,fund_dividend_policy,fund_domicile,fund_global_category,asset_type,category_type,category_subdetail,issuer,market_cap,ongoing_charge_tercile,super_region,region_group
DIA.BT1,USD,EQUITY,Dow Jones Industrial Average CR,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,PDR Services LLC,37403354698.0,1.0,Americas,North America
DIEM.BT1,USD,EQUITY,,Global Emerging Markets,DISTRIBUTION,US,Equity Emerging Mkts Global,Equity,Region,Emerging Mkts Global,Franklin,13415612.0,1.0,Global,Emerging Markets
DIHP.BT1,USD,EQUITY,MSCI World ex USA NR USD,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,Dimensional Fund,2967788766.0,1.0,Global,Global Ex-US
DIM.BT1,USD,EQUITY,WisdomTree International MidCap Dividend TR USD,Global Ex US,DISTRIBUTION,US,Equity Global Income,Equity,Region,Global Income,WisdomTree,125059643.0,2.0,Global,Global Ex-US
DINT.BT1,USD,EQUITY,MSCI AC World ex USA NR USD,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,Davis Selected,203368451.0,2.0,Global,Global Ex-US
DISV.BT1,USD,EQUITY,MSCI World ex USA NR USD,Global Ex US,DISTRIBUTION,US,Equity Global ex US Sm&Mid Cap,Equity,Region,Global ex US Sm&Mid Cap,Dimensional Fund,2192116446.0,2.0,Global,Global Ex-US
DIV.BT1,USD,EQUITY,Indxx SuperDividend U.S. Low Volatility TR,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,Glo X Mgmt Co,634034579.0,2.0,Americas,North America
DIVB.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,BlackRock,589777946.0,1.0,Americas,North America
DIVD.BT1,USD,EQUITY,,Global,DISTRIBUTION,US,Equity Global Income,Equity,Region,Global Income,Empowered Funds,5667050.0,2.0,Global,Global
DIVG.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Invesco,3034372.0,2.0,Americas,North America
DIVI.BT1,USD,EQUITY,,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,Franklin,972415972.0,1.0,Global,Global Ex-US
DIVL.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,Madison Asset,57909535.0,2.0,Americas,North America
DIVO.BT1,USD,EQUITY,CBOE S&P 500 Buywrite (BXM),United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,Amplify Investments LLC,3761152978.0,2.0,Americas,North America
DIVP.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,Cullen Capital,10629477.0,,Americas,North America
DIVS.BT1,USD,EQUITY,MSCI World TR USD,Global,DISTRIBUTION,US,Equity Global Income,Equity,Region,Global Income,GAAM,39093535.0,2.0,Global,Global
DIVY.BT1,USD,EQUITY,S&P 500 TR,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,Tidal Invstmnts,30631295.0,2.0,Americas,North America
DIVZ.BT1,USD,EQUITY,S&P 500 CR,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,TrueMark Investments LLC,134105174.0,2.0,Americas,North America
DJD.BT1,USD,EQUITY,Dow Jones Industrial Average Yield Weighted TR USD,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,Invesco,317592244.0,1.0,Americas,North America
DLN.BT1,USD,EQUITY,WisdomTree US LargeCap Dividend TR USD,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,WisdomTree,4531306118.0,1.0,Americas,North America
DLS.BT1,USD,EQUITY,WisdomTree International SmallCap Dividend TR USD,Global Ex US,DISTRIBUTION,US,Equity Global Income,Equity,Region,Global Income,WisdomTree,898311289.0,2.0,Global,Global Ex-US
DMAT.BT1,USD,EQUITY,Solactive Disruptive Materials USD,Global,DISTRIBUTION,US,Equity Global Sm&Mid Cap,Equity,Region,Global Sm&Mid Cap,Glo X Mgmt Co,4830081.0,2.0,Global,Global
DMCY.BT1,USD,EQUITY,,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,Democracy Investment Management LLC,8633615.0,1.0,Global,Global Ex-US
DMXF.BT1,USD,EQUITY,MSCI EAFE Choice ESG Screened NR USD,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,BlackRock,772281028.0,1.0,Global,Global Ex-US
DNL.BT1,USD,EQUITY,WisdomTree Glbl ex-US Quality Div Growth TR USD,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,WisdomTree,572543840.0,2.0,Global,Global Ex-US
DOL.BT1,USD,EQUITY,WisdomTree International LargeCap Dividend TR USD,Global Ex US,DISTRIBUTION,US,Equity Global Income,Equity,Region,Global Income,WisdomTree,482817257.0,2.0,Global,Global Ex-US
DON.BT1,USD,EQUITY,WisdomTree US MidCap Dividend TR USD,United States of America,DISTRIBUTION,US,Equity US Sm&Mid Cap,Equity,Region,US Sm&Mid Cap,WisdomTree,3734105806.0,1.0,Americas,North America
DRAG.BT1,USD,EQUITY,,China,DISTRIBUTION,US,Equity China,Equity,Region,China,Roundhill Financial Inc,53063727.0,,Asia,East Asia
DRUP.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,GraniteShares Advisors LLC,59360485.0,2.0,Americas,North America
